"Dataset","Reg","FF","Scr","GSR","Parcellation","xfm","nsub","nses","nscans","nroi","discr"
"ANT65","NKI24_mx1400","A","F","N","N","D","N",24,2,47,71,0.736166007905138
"ANT147","NKI24_mx1400","A","F","N","N","D","P",24,2,47,71,0.900197628458498
"ANT246","NKI24_mx1400","A","F","N","N","D","L",24,2,47,71,0.702075098814229
"ANT66","NKI24_mx1400","A","F","N","N","H","N",24,2,47,112,0.780138339920949
"ANT148","NKI24_mx1400","A","F","N","N","H","P",24,2,47,112,0.889822134387352
"ANT247","NKI24_mx1400","A","F","N","N","H","L",24,2,47,112,0.805335968379447
"ANT67","NKI24_mx1400","A","N","S","G","A","N",24,2,47,117,0.87697628458498
"ANT149","NKI24_mx1400","A","N","S","G","A","P",24,2,47,117,0.878458498023715
"ANT248","NKI24_mx1400","A","N","S","G","A","L",24,2,47,117,0.875494071146245
"ANT68","NKI24_mx1400","A","N","S","G","C","N",24,2,47,201,0.885869565217391
"ANT150","NKI24_mx1400","A","N","S","G","C","P",24,2,47,201,0.897233201581028
"ANT249","NKI24_mx1400","A","N","S","G","C","L",24,2,47,201,0.888833992094862
"ANT69","NKI24_mx1400","A","N","S","G","D","N",24,2,47,71,0.859683794466403
"ANT151","NKI24_mx1400","A","N","S","G","D","P",24,2,47,71,0.858201581027668
"ANT250","NKI24_mx1400","A","N","S","G","D","L",24,2,47,71,0.823122529644269
"ANT70","NKI24_mx1400","A","N","S","G","H","N",24,2,47,112,0.866600790513834
"ANT152","NKI24_mx1400","A","N","S","G","H","P",24,2,47,112,0.881422924901186
"ANT251","NKI24_mx1400","A","N","S","G","H","L",24,2,47,112,0.867588932806324
"ANT71","NKI24_mx1400","A","N","S","N","A","N",24,2,47,117,0.811264822134387
"ANT153","NKI24_mx1400","A","N","S","N","A","P",24,2,47,117,0.867588932806324
"ANT252","NKI24_mx1400","A","N","S","N","A","L",24,2,47,117,0.75098814229249
"ANT72","NKI24_mx1400","A","N","S","N","C","N",24,2,47,201,0.821146245059289
"ANT154","NKI24_mx1400","A","N","S","N","C","P",24,2,47,201,0.892786561264822
"ANT253","NKI24_mx1400","A","N","S","N","C","L",24,2,47,201,0.725790513833992
"ANT73","NKI24_mx1400","A","N","S","N","D","N",24,2,47,71,0.731719367588933
"ANT155","NKI24_mx1400","A","N","S","N","D","P",24,2,47,71,0.864624505928854
"ANT254","NKI24_mx1400","A","N","S","N","D","L",24,2,47,71,0.672430830039526
"ANT74","NKI24_mx1400","A","N","S","N","H","N",24,2,47,112,0.775691699604743
"ANT156","NKI24_mx1400","A","N","S","N","H","P",24,2,47,112,0.868577075098814
"ANT255","NKI24_mx1400","A","N","S","N","H","L",24,2,47,112,0.78903162055336
"ANT75","NKI24_mx1400","A","N","N","G","A","N",24,2,47,117,0.950098814229249
"ANT157","NKI24_mx1400","A","N","N","G","A","P",24,2,47,117,0.933794466403162
"ANT256","NKI24_mx1400","A","N","N","G","A","L",24,2,47,117,0.937747035573123
"ANT76","NKI24_mx1400","A","N","N","G","C","N",24,2,47,201,0.958498023715415
"ANT158","NKI24_mx1400","A","N","N","G","C","P",24,2,47,201,0.959486166007905
"ANT257","NKI24_mx1400","A","N","N","G","C","L",24,2,47,201,0.971343873517787
"ANT77","NKI24_mx1400","A","N","N","G","D","N",24,2,47,71,0.906126482213439
"ANT159","NKI24_mx1400","A","N","N","G","D","P",24,2,47,71,0.879940711462451
"ANT258","NKI24_mx1400","A","N","N","G","D","L",24,2,47,71,0.864130434782609
"ANT78","NKI24_mx1400","A","N","N","G","H","N",24,2,47,112,0.932312252964427
"ANT160","NKI24_mx1400","A","N","N","G","H","P",24,2,47,112,0.921442687747036
"ANT259","NKI24_mx1400","A","N","N","G","H","L",24,2,47,112,0.892786561264822
"ANT79","NKI24_mx1400","A","N","N","N","A","N",24,2,47,117,0.842885375494071
"ANT161","NKI24_mx1400","A","N","N","N","A","P",24,2,47,117,0.919466403162055
"ANT260","NKI24_mx1400","A","N","N","N","A","L",24,2,47,117,0.787055335968379
"ANT80","NKI24_mx1400","A","N","N","N","C","N",24,2,47,201,0.850790513833992
"ANT162","NKI24_mx1400","A","N","N","N","C","P",24,2,47,201,0.935770750988142
